CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0137,0.9999999999535784
C0001,C0152,0.9999999999084888
C0001,C0056,0.9999999968962241
C0002,C0029,0.9999999959796236
C0002,C0199,0.9999999924770433
C0002,C0031,0.9999999890215163
C0003,C0178,0.9999999999621613
C0003,C0035,0.9999999971264635
C0003,C0133,0.9999999969215194
C0004,C0021,0.9999999998417695
C0004,C0101,0.9999999986285694
C0004,C0145,0.9999999942803015
C0005,C0073,0.9999999998405595
C0005,C0159,0.9999999996679972
C0005,C0112,0.9999999985765446
C0006,C0079,0.9999999999865862
C0006,C0117,0.9999999989687686
C0006,C0158,0.9999999920341442
C0007,C0085,0.9999999999691184
C0007,C0120,0.9999999987975173
C0007,C0042,0.9999999966847497
C0008,C0175,0.9999997355616248
C0008,C0065,0.9999994684792668
C0008,C0141,0.9999990239193226
C0009,C0077,0.9999999748101096
C0009,C0043,0.9999997829066128
C0009,C0032,0.9999994442655252
C0010,C0029,0.9999999962646265
C0010,C0002,0.9999999844937387
C0010,C0025,0.9999999835221387
